iso3c,calificacion,ocupacion,rama,freq
BLR,3.Alta,1.Asalariado_patr,2.No_agro,36.347424513956796
BLR,3.Alta,3.TCP_fliares,1.Agro,0.11670997284012774
BLR,3.Alta,3.TCP_fliares,2.No_agro,1.2313866334560601
BLZ,1.Baja,1.Asalariado_patr,1.Agro,5.243679935617178
BLZ,1.Baja,1.Asalariado_patr,2.No_agro,12.350760953475785
BLZ,1.Baja,3.TCP_fliares,1.Agro,2.3978166767836044
BLZ,1.Baja,3.TCP_fliares,2.No_agro,2.1566512155795845
BLZ,2.Media,1.Asalariado_patr,1.Agro,4.420990185385009
BLZ,2.Media,1.Asalariado_patr,2.No_agro,35.72140771423648
BLZ,2.Media,3.TCP_fliares,1.Agro,5.244023978934388
BLZ,2.Media,3.TCP_fliares,2.No_agro,16.180058247506242
BLZ,3.Alta,1.Asalariado_patr,1.Agro,0.2746144843930766
BLZ,3.Alta,1.Asalariado_patr,2.No_agro,14.555228275894269
BLZ,3.Alta,3.TCP_fliares,1.Agro,0.0684931996302433
BLZ,3.Alta,3.TCP_fliares,2.No_agro,1.3862751325641514
BOL,1.Baja,1.Asalariado_patr,1.Agro,0.45588466786415766
BOL,1.Baja,1.Asalariado_patr,2.No_agro,5.065775659235101
BOL,1.Baja,3.TCP_fliares,1.Agro,0.7201575579425539
BOL,1.Baja,3.TCP_fliares,2.No_agro,1.5297744453254452
BOL,2.Media,1.Asalariado_patr,1.Agro,3.396894988754755
BOL,2.Media,1.Asalariado_patr,2.No_agro,19.20041079317154
BOL,2.Media,3.TCP_fliares,1.Agro,25.752328404825622
BOL,2.Media,3.TCP_fliares,2.No_agro,27.82619432154416
BOL,3.Alta,1.Asalariado_patr,1.Agro,0.12752160827190848
BOL,3.Alta,1.Asalariado_patr,2.No_agro,13.211115650326569
BOL,3.Alta,3.TCP_fliares,1.Agro,0.1304495412867339
BOL,3.Alta,3.TCP_fliares,2.No_agro,2.5834923614514698
BRA,1.Baja,1.Asalariado_patr,1.Agro,1.505829355408948
BRA,1.Baja,1.Asalariado_patr,2.No_agro,13.721673891278368
BRA,1.Baja,3.TCP_fliares,1.Agro,1.3034556718521668
BRA,1.Baja,3.TCP_fliares,2.No_agro,2.352896445300491
BRA,2.Media,1.Asalariado_patr,1.Agro,2.5713870853515375
BRA,2.Media,1.Asalariado_patr,2.No_agro,36.06216160983932
BRA,2.Media,3.TCP_fliares,1.Agro,5.193079197416719
BRA,2.Media,3.TCP_fliares,2.No_agro,14.427279843433697
BRA,3.Alta,1.Asalariado_patr,1.Agro,0.10426620081361512
BRA,3.Alta,1.Asalariado_patr,2.No_agro,19.483600211363587
BRA,3.Alta,3.TCP_fliares,1.Agro,0.086129179721399
BRA,3.Alta,3.TCP_fliares,2.No_agro,3.1882413082201393
BRB,1.Baja,1.Asalariado_patr,1.Agro,0.5357357201438144
BRB,1.Baja,1.Asalariado_patr,2.No_agro,14.31718276857408
BRB,1.Baja,3.TCP_fliares,1.Agro,0.21596371924481086
BRB,1.Baja,3.TCP_fliares,2.No_agro,1.0967898626662183
BRB,2.Media,1.Asalariado_patr,1.Agro,1.023262739548575
BRB,2.Media,1.Asalariado_patr,2.No_agro,42.34010847271748
BRB,2.Media,3.TCP_fliares,1.Agro,1.0956834232524364
BRB,2.Media,3.TCP_fliares,2.No_agro,8.615600676309663
BRB,3.Alta,1.Asalariado_patr,1.Agro,0.028040513914190508
BRB,3.Alta,1.Asalariado_patr,2.No_agro,24.224414419792573
BRB,3.Alta,3.TCP_fliares,1.Agro,0.039396263830306075
BRB,3.Alta,3.TCP_fliares,2.No_agro,6.467821420005839
BRN,1.Baja,1.Asalariado_patr,1.Agro,1.3515464650756825
BRN,1.Baja,1.Asalariado_patr,2.No_agro,14.410397658358189
BRN,1.Baja,3.TCP_fliares,1.Agro,0.29026888089463315
BRN,1.Baja,3.TCP_fliares,2.No_agro,0.17727324853381904
BRN,2.Media,1.Asalariado_patr,1.Agro,0.6556643936809953
BRN,2.Media,1.Asalariado_patr,2.No_agro,39.31535153199425
BRN,2.Media,3.TCP_fliares,1.Agro,0.8534988408678825
BRN,2.Media,3.TCP_fliares,2.No_agro,2.9314415513959693
BRN,3.Alta,1.Asalariado_patr,1.Agro,0.24614077193033582
