COUNTRY_lab,rama_agg,skill_level,cat_ocup,n_raw,n_wei
Fiji,Agro,Level 1,Own account worker,327,3270
Fiji,Agro,Level 1,Unpaid worker,16,160
Fiji,Agro,Level 1,Wage/salary worker,477,4770
Fiji,Agro,Level 2,Employer,66,660
Fiji,Agro,Level 2,Own account worker,12292,122920
Fiji,Agro,Level 2,Unpaid worker,24,240
Fiji,Agro,Level 2,Wage/salary worker,509,5090
Fiji,Agro,Level 3-4,Employer,11,110
Fiji,Agro,Level 3-4,Own account worker,19,190
Fiji,Agro,Level 3-4,Wage/salary worker,90,900
Fiji,No agro,Level 1,Employer,8,80
Fiji,No agro,Level 1,Own account worker,646,6460
Fiji,No agro,Level 1,Unpaid worker,23,230
Fiji,No agro,Level 1,Wage/salary worker,1842,18420
Fiji,No agro,Level 2,Employer,49,490
Fiji,No agro,Level 2,Own account worker,1771,17710
Fiji,No agro,Level 2,Unpaid worker,11,110
Fiji,No agro,Level 2,Wage/salary worker,8855,88550
Fiji,No agro,Level 3-4,Employer,258,2580
Fiji,No agro,Level 3-4,Own account worker,604,6040
Fiji,No agro,Level 3-4,Unpaid worker,14,140
Fiji,No agro,Level 3-4,Wage/salary worker,5814,58140
Finland,Agro,Level 1,Wage/salary worker,52,1040
Finland,Agro,Level 2,Own account worker,2703,54060
Finland,Agro,Level 2,Wage/salary worker,1037,20740
Finland,Agro,Level 3-4,Own account worker,43,860
Finland,Agro,Level 3-4,Wage/salary worker,287,5740
Finland,No agro,Level 1,Own account worker,3,60
Finland,No agro,Level 1,Wage/salary worker,7478,149560
Finland,No agro,Level 2,Own account worker,4692,93840
Finland,No agro,Level 2,Wage/salary worker,48972,979440
Finland,No agro,Level 3-4,Own account worker,3176,63520
Finland,No agro,Level 3-4,Wage/salary worker,41605,832100
France,Agro,Level 1,Wage/salary worker,4368,16134.33
France,Agro,Level 2,Employer,32585,125562.23999999999
France,Agro,Level 2,Own account worker,79984,306591.78
France,Agro,Level 2,Unpaid worker,3126,11992.77
France,Agro,Level 2,Wage/salary worker,66441,243867.34
France,Agro,Level 3-4,Employer,1202,4467.95
France,Agro,Level 3-4,Own account worker,1182,4371.79
France,Agro,Level 3-4,Unpaid worker,53,201.2
France,Agro,Level 3-4,Wage/salary worker,11231,40161.41
France,No agro,Level 1,Wage/salary worker,707915,2278848.7099999995
France,No agro,Level 2,Employer,177095,585831.26
France,No agro,Level 2,Own account worker,218409,715202.05
France,No agro,Level 2,Unpaid worker,6601,22390.47
France,No agro,Level 2,Wage/salary worker,3769432,11944773.270000007
France,No agro,Level 3-4,Employer,164860,523563.44
France,No agro,Level 3-4,Own account worker,215865,663938.36
France,No agro,Level 3-4,Unpaid worker,2481,7805.65
France,No agro,Level 3-4,Wage/salary worker,2948782,9020170.72
Ghana,Agro,Level 1,Employer,48,480
Ghana,Agro,Level 1,Own account worker,1130,11300
Ghana,Agro,Level 1,Unpaid worker,1254,12540
Ghana,Agro,Level 1,Wage/salary worker,2360,23600
Ghana,Agro,Level 2,Employer,12393,123930
Ghana,Agro,Level 2,Own account worker,293259,2932590
Ghana,Agro,Level 2,Unpaid worker,154692,1546920
Ghana,Agro,Level 2,Wage/salary worker,20389,203890
Ghana,Agro,Level 3-4,Employer,91,910
Ghana,Agro,Level 3-4,Own account worker,325,3250
Ghana,Agro,Level 3-4,Unpaid worker,47,470
Ghana,Agro,Level 3-4,Wage/salary worker,813,8130
Ghana,No agro,Level 1,Employer,1275,12750
Ghana,No agro,Level 1,Own account worker,37640,376400
Ghana,No agro,Level 1,Unpaid worker,4127,41270
Ghana,No agro,Level 1,Wage/salary worker,15658,156580
Ghana,No agro,Level 2,Employer,28981,289810
Ghana,No agro,Level 2,Own account worker,268277,2682770
Ghana,No agro,Level 2,Unpaid worker,52120,521200
Ghana,No agro,Level 2,Wage/salary worker,98550,985500
Ghana,No agro,Level 3-4,Employer,7478,74780
Ghana,No agro,Level 3-4,Own account worker,17150,171500
Ghana,No agro,Level 3-4,Unpaid worker,1527,15270
Ghana,No agro,Level 3-4,Wage/salary worker,70634,706340
Greece,Agro,Level 1,Own account worker,4,40
Greece,Agro,Level 1,Unpaid worker,97,970
Greece,Agro,Level 1,Wage/salary worker,5075,50750
Greece,Agro,Level 2,Employer,1921,19210
Greece,Agro,Level 2,Own account worker,23135,231350
Greece,Agro,Level 2,Unpaid worker,1232,12320
Greece,Agro,Level 2,Wage/salary worker,4031,40310
Greece,Agro,Level 3-4,Employer,34,340
Greece,Agro,Level 3-4,Own account worker,68,680
Greece,Agro,Level 3-4,Unpaid worker,5,50
Greece,Agro,Level 3-4,Wage/salary worker,257,2570
Greece,No agro,Level 1,Employer,530,5300
Greece,No agro,Level 1,Own account worker,2160,21600
Greece,No agro,Level 1,Unpaid worker,300,3000
Greece,No agro,Level 1,Wage/salary worker,25901,259010
Greece,No agro,Level 2,Employer,12657,126570
Greece,No agro,Level 2,Own account worker,33605,336050
Greece,No agro,Level 2,Unpaid worker,2438,24380
Greece,No agro,Level 2,Wage/salary worker,131579,1315790
Greece,No agro,Level 3-4,Employer,12119,121190
Greece,No agro,Level 3-4,Own account worker,23767,237670
Greece,No agro,Level 3-4,Unpaid worker,627,6270
Greece,No agro,Level 3-4,Wage/salary worker,83267,832670
Guinea,Agro,Level 1,Employer,4,40
Guinea,Agro,Level 1,Own account worker,73,730
Guinea,Agro,Level 1,Unpaid worker,54,540
Guinea,Agro,Level 1,Wage/salary worker,14,140
Guinea,Agro,Level 2,Employer,781,7810
Guinea,Agro,Level 2,Own account worker,165221,1652210
Guinea,Agro,Level 2,Unpaid worker,59438,594380
Guinea,Agro,Level 2,Wage/salary worker,3058,30580
Guinea,Agro,Level 3-4,Employer,8,80
Guinea,Agro,Level 3-4,Own account worker,194,1940
Guinea,Agro,Level 3-4,Unpaid worker,63,630
Guinea,Agro,Level 3-4,Wage/salary worker,102,1020
Guinea,No agro,Level 1,Employer,72,720
Guinea,No agro,Level 1,Own account worker,2958,29580
Guinea,No agro,Level 1,Unpaid worker,515,5150
Guinea,No agro,Level 1,Wage/salary worker,1230,12300
Guinea,No agro,Level 2,Employer,1548,15480
Guinea,No agro,Level 2,Own account worker,116733,1167330
Guinea,No agro,Level 2,Unpaid worker,27742,277420
Guinea,No agro,Level 2,Wage/salary worker,14448,144480
Guinea,No agro,Level 3-4,Employer,157,1570
Guinea,No agro,Level 3-4,Own account worker,3973,39730
Guinea,No agro,Level 3-4,Unpaid worker,426,4260
Guinea,No agro,Level 3-4,Wage/salary worker,5557,55570
Honduras,Agro,Level 1,Employer,154,1625.57
Honduras,Agro,Level 1,Own account worker,2244,23504.77
Honduras,Agro,Level 1,Unpaid worker,4701,48521.86
Honduras,Agro,Level 1,Wage/salary worker,8542,90346.98
Honduras,Agro,Level 2,Employer,122,1357.23
Honduras,Agro,Level 2,Own account worker,45234,471795.45
Honduras,Agro,Level 2,Unpaid worker,10891,114219.36
Honduras,Agro,Level 2,Wage/salary worker,22697,244708.75
Honduras,Agro,Level 3-4,Employer,49,554
Honduras,Agro,Level 3-4,Own account worker,72,822.22
Honduras,Agro,Level 3-4,Unpaid worker,5,52.17
Honduras,Agro,Level 3-4,Wage/salary worker,1264,14161.02
Honduras,No agro,Level 1,Employer,136,1471.35
Honduras,No agro,Level 1,Own account worker,1390,15194.42
Honduras,No agro,Level 1,Unpaid worker,271,2949.34
Honduras,No agro,Level 1,Wage/salary worker,13240,146713.81
Honduras,No agro,Level 2,Employer,2471,27322.87
Honduras,No agro,Level 2,Own account worker,22997,253649.92
Honduras,No agro,Level 2,Unpaid worker,1437,15864.72
Honduras,No agro,Level 2,Wage/salary worker,42657,473722.44
Honduras,No agro,Level 3-4,Employer,793,9134.74
Honduras,No agro,Level 3-4,Own account worker,3454,39545.19
Honduras,No agro,Level 3-4,Unpaid worker,87,977.72
Honduras,No agro,Level 3-4,Wage/salary worker,20621,233211.97
Hungary,Agro,Level 1,Own account worker,81,1620
Hungary,Agro,Level 1,Unpaid worker,9,180
Hungary,Agro,Level 1,Wage/salary worker,964,19280
Hungary,Agro,Level 2,Own account worker,2867,57340
Hungary,Agro,Level 2,Unpaid worker,181,3620
Hungary,Agro,Level 2,Wage/salary worker,3806,76120
Hungary,Agro,Level 3-4,Own account worker,200,4000
Hungary,Agro,Level 3-4,Unpaid worker,2,40
Hungary,Agro,Level 3-4,Wage/salary worker,746,14920
Hungary,No agro,Level 1,Own account worker,360,7200
Hungary,No agro,Level 1,Unpaid worker,59,1180
Hungary,No agro,Level 1,Wage/salary worker,16608,332160
Hungary,No agro,Level 2,Own account worker,11704,234080
Hungary,No agro,Level 2,Unpaid worker,248,4960
Hungary,No agro,Level 2,Wage/salary worker,87489,1749780
Hungary,No agro,Level 3-4,Own account worker,9559,191180
Hungary,No agro,Level 3-4,Unpaid worker,59,1180
Hungary,No agro,Level 3-4,Wage/salary worker,61617,1232340
Iran,Agro,Level 1,Employer,64,3193.7999999999997
Iran,Agro,Level 1,Own account worker,1365,68087.04
Iran,Agro,Level 1,Unpaid worker,391,19414.54
Iran,Agro,Level 1,Wage/salary worker,4130,206436.72
Iran,Agro,Level 2,Employer,1553,77636.88
Iran,Agro,Level 2,Own account worker,47188,2355412.68
Iran,Agro,Level 2,Unpaid worker,14894,742578.0599999999
Iran,Agro,Level 2,Wage/salary worker,4332,216239.78
Iran,Agro,Level 3-4,Employer,62,3098.25
Iran,Agro,Level 3-4,Own account worker,124,6209.61
Iran,Agro,Level 3-4,Unpaid worker,2,98.6
Iran,Agro,Level 3-4,Wage/salary worker,367,18320.39
Iran,No agro,Level 1,Employer,681,34020.09
Iran,No agro,Level 1,Own account worker,3911,195255.99
Iran,No agro,Level 1,Unpaid worker,126,6277.8
Iran,No agro,Level 1,Wage/salary worker,37741,1885530.0599999998
Iran,No agro,Level 2,Employer,8581,429050.41
Iran,No agro,Level 2,Own account worker,70512,3524380.4600000014
Iran,No agro,Level 2,Unpaid worker,1290,64672.77
Iran,No agro,Level 2,Wage/salary worker,83491,4172899.2600000016
Iran,No agro,Level 3-4,Employer,3755,187757.49
Iran,No agro,Level 3-4,Own account worker,6531,326429.75
Iran,No agro,Level 3-4,Unpaid worker,66,3296.49
Iran,No agro,Level 3-4,Wage/salary worker,56124,2805521.0300000007
Ireland,Agro,Level 1,Employer,21,210
Ireland,Agro,Level 1,Own account worker,51,510
Ireland,Agro,Level 1,Unpaid worker,24,240
Ireland,Agro,Level 1,Wage/salary worker,534,5340
Ireland,Agro,Level 2,Employer,911,9110
Ireland,Agro,Level 2,Own account worker,5510,55100
Ireland,Agro,Level 2,Unpaid worker,143,1430
Ireland,Agro,Level 2,Wage/salary worker,1220,12200
Ireland,Agro,Level 3-4,Employer,46,460
Ireland,Agro,Level 3-4,Own account worker,47,470
Ireland,Agro,Level 3-4,Unpaid worker,1,10
Ireland,Agro,Level 3-4,Wage/salary worker,179,1790
Ireland,No agro,Level 1,Employer,255,2550
Ireland,No agro,Level 1,Own account worker,387,3870
Ireland,No agro,Level 1,Unpaid worker,33,330
Ireland,No agro,Level 1,Wage/salary worker,13498,134980
Ireland,No agro,Level 2,Employer,3065,30650
Ireland,No agro,Level 2,Own account worker,6248,62480
Ireland,No agro,Level 2,Unpaid worker,185,1850
Ireland,No agro,Level 2,Wage/salary worker,66838,668380
Ireland,No agro,Level 3-4,Employer,5979,59790
Ireland,No agro,Level 3-4,Own account worker,5688,56880
Ireland,No agro,Level 3-4,Unpaid worker,87,870
Ireland,No agro,Level 3-4,Wage/salary worker,57293,572930
Italy,Agro,Level 1,Employer,295,5900
Italy,Agro,Level 1,Own account worker,2262,45240
Italy,Agro,Level 1,Unpaid worker,692,13840
Italy,Agro,Level 1,Wage/salary worker,31877,637540
Italy,Agro,Level 2,Employer,1772,35440
Italy,Agro,Level 2,Own account worker,11756,235120
Italy,Agro,Level 2,Unpaid worker,3063,61260
Italy,Agro,Level 2,Wage/salary worker,8379,167580
Italy,Agro,Level 3-4,Employer,3909,78180
Italy,Agro,Level 3-4,Own account worker,731,14620
Italy,Agro,Level 3-4,Wage/salary worker,2122,42440
Italy,No agro,Level 1,Employer,678,13560
Italy,No agro,Level 1,Own account worker,3109,62180
Italy,No agro,Level 1,Unpaid worker,3968,79360
Italy,No agro,Level 1,Wage/salary worker,149707,2994140
Italy,No agro,Level 2,Employer,24804,496080
Italy,No agro,Level 2,Own account worker,80611,1612220
Italy,No agro,Level 2,Unpaid worker,12176,243520
Italy,No agro,Level 2,Wage/salary worker,440217,8804340
Italy,No agro,Level 3-4,Employer,47668,953360
Italy,No agro,Level 3-4,Own account worker,64195,1283900
Italy,No agro,Level 3-4,Wage/salary worker,237978,4759560
Kenya,Agro,Level 1,Employer,3701,37010
Kenya,Agro,Level 1,Own account worker,26502,265020
Kenya,Agro,Level 1,Unpaid worker,45909,459090
Kenya,Agro,Level 1,Wage/salary worker,68808,688080
Kenya,Agro,Level 2,Employer,30229,302290
Kenya,Agro,Level 2,Own account worker,234654,2346540
Kenya,Agro,Level 2,Unpaid worker,311728,3117280
Kenya,Agro,Level 2,Wage/salary worker,398826,3988260
Kenya,Agro,Level 3-4,Employer,1637,16370
Kenya,Agro,Level 3-4,Own account worker,7186,71860
Kenya,Agro,Level 3-4,Unpaid worker,9893,98930
Kenya,Agro,Level 3-4,Wage/salary worker,21586,215860
Kenya,No agro,Level 1,Employer,6671,66710
Kenya,No agro,Level 1,Own account worker,28613,286130
Kenya,No agro,Level 1,Unpaid worker,15067,150670
Kenya,No agro,Level 1,Wage/salary worker,119378,1193780
Kenya,No agro,Level 2,Employer,14985,149850
Kenya,No agro,Level 2,Own account worker,61033,610330
Kenya,No agro,Level 2,Unpaid worker,31670,316700
Kenya,No agro,Level 2,Wage/salary worker,215067,2150670
Kenya,No agro,Level 3-4,Employer,18890,188900
Kenya,No agro,Level 3-4,Own account worker,68570,685700
Kenya,No agro,Level 3-4,Unpaid worker,35619,356190
Kenya,No agro,Level 3-4,Wage/salary worker,149304,1493040
Malawi,Agro,Level 1,Employer,593,5930
Malawi,Agro,Level 1,Own account worker,103469,1034690
Malawi,Agro,Level 1,Unpaid worker,37815,378150
Malawi,Agro,Level 1,Wage/salary worker,5418,54180
Malawi,Agro,Level 2,Employer,1519,15190
Malawi,Agro,Level 2,Own account worker,224158,2241580
Malawi,Agro,Level 2,Unpaid worker,66631,666310
Malawi,Agro,Level 2,Wage/salary worker,5179,51790
Malawi,Agro,Level 3-4,Employer,226,2260
Malawi,Agro,Level 3-4,Own account worker,6593,65930
Malawi,Agro,Level 3-4,Unpaid worker,569,5690
Malawi,Agro,Level 3-4,Wage/salary worker,1203,12030
