iso3c,ref_area.label,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
FJI,Fiji,Fiji,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,339.952,145.57933333333332,9.370666666666667,30.837,27.802333333333333,0.01740294769975584,42.82349665050752,2.768555932964547,9.070986492210665,8.178744501383601,0.06001682388400296
FRA,France,France,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,26019.788,1885.506090909091,18.311125,1527.2073636363637,2544.470181818182,1.3320145482972143,7.246431411774343,0.07049114179484305,5.869407404996395,9.871457303292797,0.05951028103072514
FSM,Micronesia (Federated States of),"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,NA,Peq. estado,Excluíble,No OCDE,29.589,14.648,2.158,2.726,2.6510000000000002,0.0015147309605122944,49.50488357159755,7.2757923128792985,9.212883166041436,8.792994792530433,1.13061389312628
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,29665.017,3667.1890909090907,269.0641818181818,3517.9192727272725,2609.202818181818,1.5186224507088293,12.361998952871291,0.8802241589758039,11.858814281910819,8.820320717076683,NA
GEO,Georgia,Georgia,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,1668.854,891.077,10.968454545454545,160.57136363636363,80.77263636363637,0.08543258719033374,53.39454499914313,0.6616774919860317,9.621654359001065,4.867773642189581,0.01705544148625913
GHA,Ghana,Ghana,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,10641.10875,7456.82025,256.834,3324.61175,415.7825,0.5447435492177256,70.07559480115266,2.4142447906263,31.24309532124648,3.8672016985896303,0.5771007206728601
GIN,Guinea,Guinea,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,3334.05,2896.41,72.85849999999999,1197.33,42.18,0.17067791270053115,86.8736221712332,2.2621587325440555,35.91217888154047,1.284233281066845,0.34589004781921145
GMB,Gambia,"Gambia, The",Sub-Saharan Africa,Low income,04 Bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,646.327,472.421,63.964000000000006,210.2755,97.386,0.03308700927760417,73.09318657583545,10.106302297949794,32.53391858919711,15.166949984698492,3.745640462098887
GNB,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,268.905,192.25799999999998,15.168,88.398,20.981,0.013765883569453463,71.49662520220896,6.402296182175042,32.87331957382719,8.825966792725866,1.251702806469242
GRC,Greece,Greece,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,3768.664090909091,1024.3749090909091,15.378,650.4626363636363,239.8088181818182,0.19292683694180005,27.181380042916096,0.4316873256530073,17.259766874227555,6.46591211085173,0.02329189499322377
GRD,Grenada,Grenada,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,NA,Peq. estado,Excluíble,No OCDE,110.522,19.6915,2.5965000000000003,13.446,16.0435,0.005657882835436812,17.816814751814118,2.3159152837921613,12.165903620998533,14.471791124882174,1.0094506654060973
GTM,Guatemala,Guatemala,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,6182.3946,2385.819,427.3372,1359.8135,726.5665,0.3164914160912509,38.59053254219651,6.9175693864646854,21.994932190190514,11.762859214392575,0.8739920776358915
GUY,Guyana,Guyana,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,245.49200000000002,70.0055,10.1955,51.998999999999995,36.8815,0.012567316670319519,28.51640786665146,4.183567326690015,21.181545630814853,15.177384641341876,1.829967528584718
HKG,"Hong Kong, China","Hong Kong SAR, China",East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,3288.1095,177.16570000000002,9.9335,177.16570000000002,629.7502727272727,0.16832610974364126,5.388071778023208,0.2773024710166785,5.388071778023208,19.972154753030562,NA
HND,Honduras,Honduras,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,3380.8965454545455,1390.486909090909,305.29236363636363,863.565909090909,393.79090909090905,0.17307609826925757,41.127756806411384,9.027825420076033,25.54251209644176,11.627873890356373,2.168784650620598
HRV,Croatia,Croatia,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,1587.4168181818181,267.106,8.832,140.24072727272727,103.79354545454545,0.08126362505451067,16.826456475743754,0.5605010170158029,8.83452447186209,6.589281369307576,2.518380167630177e-12
HTI,Haiti,Haiti,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,3770.206,2802.665,NA,1672.299,NA,0.19300577091855814,74.3371847586047,NA,44.35563998359772,NA,NA
