iso3c,calificacion,ocupacion,rama,freq
BIH,2.Media,3.TCP_fliares,1.Agro,38.603981536054114
BIH,3-Alta,3.TCP_fliares,1.Agro,0.9218009341669031
BIH,1.Baja,1.Asalariado_patr,2.No_agro,4.229900860656883
BIH,2.Media,1.Asalariado_patr,2.No_agro,25.999020404988542
BIH,3-Alta,1.Asalariado_patr,2.No_agro,12.475273213535287
BIH,1.Baja,3.TCP_fliares,2.No_agro,0.1792604860907058
BIH,2.Media,3.TCP_fliares,2.No_agro,2.686720060593855
BIH,3-Alta,3.TCP_fliares,2.No_agro,0.7182897858857125
BLR,1.Baja,1.Asalariado_patr,1.Agro,3.8859216564928194
BLR,2.Media,1.Asalariado_patr,1.Agro,23.53897991231829
BLR,3-Alta,1.Asalariado_patr,1.Agro,7.984095930121937
BLR,1.Baja,3.TCP_fliares,1.Agro,0.37615660188243394
BLR,2.Media,3.TCP_fliares,1.Agro,1.5256017021059818
BLR,3-Alta,3.TCP_fliares,1.Agro,0.7042527568732104
BLR,1.Baja,1.Asalariado_patr,2.No_agro,4.28858792157878
BLR,2.Media,1.Asalariado_patr,2.No_agro,29.38838862741654
BLR,3-Alta,1.Asalariado_patr,2.No_agro,24.054107126439952
BLR,1.Baja,3.TCP_fliares,2.No_agro,0.39759321045594553
BLR,2.Media,3.TCP_fliares,2.No_agro,1.8242287421060017
BLR,3-Alta,3.TCP_fliares,2.No_agro,2.0320858122081087
BLZ,1.Baja,1.Asalariado_patr,1.Agro,15.646560363043918
BLZ,2.Media,1.Asalariado_patr,1.Agro,13.789743144555365
BLZ,3-Alta,1.Asalariado_patr,1.Agro,0.7750973072061839
BLZ,1.Baja,3.TCP_fliares,1.Agro,6.808019690238137
BLZ,2.Media,3.TCP_fliares,1.Agro,14.6677480585641
BLZ,3-Alta,3.TCP_fliares,1.Agro,0.23212047484484138
BLZ,1.Baja,1.Asalariado_patr,2.No_agro,6.89676801372609
BLZ,2.Media,1.Asalariado_patr,2.No_agro,19.49554798410494
BLZ,3-Alta,1.Asalariado_patr,2.No_agro,8.038306120983124
BLZ,1.Baja,3.TCP_fliares,2.No_agro,1.566732443644926
BLZ,2.Media,3.TCP_fliares,2.No_agro,10.826548043777997
BLZ,3-Alta,3.TCP_fliares,2.No_agro,1.256808355310367
BOL,1.Baja,1.Asalariado_patr,1.Agro,0.8872092339013572
BOL,2.Media,1.Asalariado_patr,1.Agro,7.950508626282191
BOL,3-Alta,1.Asalariado_patr,1.Agro,0.1967261120558731
BOL,1.Baja,3.TCP_fliares,1.Agro,1.7625264030187515
BOL,2.Media,3.TCP_fliares,1.Agro,57.97765014092239
BOL,3-Alta,3.TCP_fliares,1.Agro,0.3836293818487243
BOL,1.Baja,1.Asalariado_patr,2.No_agro,2.151717691149604
BOL,2.Media,1.Asalariado_patr,2.No_agro,8.690401093027791
BOL,3-Alta,1.Asalariado_patr,2.No_agro,5.070621275913879
BOL,1.Baja,3.TCP_fliares,2.No_agro,0.8230446778485642
BOL,2.Media,3.TCP_fliares,2.No_agro,12.20208537395119
BOL,3-Alta,3.TCP_fliares,2.No_agro,1.9038799900796843
BRA,1.Baja,1.Asalariado_patr,1.Agro,5.384852891111932
BRA,2.Media,1.Asalariado_patr,1.Agro,8.879924541844003
BRA,3-Alta,1.Asalariado_patr,1.Agro,0.2878689868441953
BRA,1.Baja,3.TCP_fliares,1.Agro,4.276304046811639
BRA,2.Media,3.TCP_fliares,1.Agro,17.896553105347543
BRA,3-Alta,3.TCP_fliares,1.Agro,0.36679904947526193
BRA,1.Baja,1.Asalariado_patr,2.No_agro,9.845806840284425
BRA,2.Media,1.Asalariado_patr,2.No_agro,25.814321359455896
BRA,3-Alta,1.Asalariado_patr,2.No_agro,12.872281046695818
BRA,1.Baja,3.TCP_fliares,2.No_agro,1.4741504793834577
BRA,2.Media,3.TCP_fliares,2.No_agro,9.808816369959969
BRA,3-Alta,3.TCP_fliares,2.No_agro,3.0923212827858593
BRB,1.Baja,1.Asalariado_patr,1.Agro,2.423706526036509
