ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,rama2,calif
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2017,2.733,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,1.Baja
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2017,NA,U,Unreliable,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,9.SD
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,21.911,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,3.Alta
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2017,1076.879,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,2.Media
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2017,10.784,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,1.Baja
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2017,13.803,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,9.SD
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,346.899,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,3.Alta
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2017,258.922,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,2.Media
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2017,384.807,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,1.Baja
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2017,252.189,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,9.SD
