ref_area,ref_area.label,catocup,1.Baja,2.Media,3.Alta,9.SD
GEO,Georgia,9.SD,0.22325,0.6204999999999999,0.8729090909090909,4.8938749999999995
GHA,Ghana,1.Asalariado_patr,265.29825,2017.50975,896.8485,13.1165
GHA,Ghana,3.TCP_fliares,256.834,7076.15875,125.62575,28.925
GHA,Ghana,9.SD,27.931500000000003,80.4075,14.233,42.6
GIN,Guinea,1.Asalariado_patr,34.6285,335.2765,137.15300000000002,33.255
GIN,Guinea,3.TCP_fliares,72.85849999999999,2607.5755,33.259,7.88
GIN,Guinea,9.SD,0,0.08,0.27,0
GMB,Gambia,1.Asalariado_patr,45.900999999999996,71.6585,44.80050000000001,12.3455
GMB,Gambia,3.TCP_fliares,63.964000000000006,397.1,9.488,5.1465
GMB,Gambia,9.SD,7.164,17.663,1.001,38.407
GNB,Guinea-Bissau,1.Asalariado_patr,10.334,35.638,26.599999999999998,4.924
GNB,Guinea-Bissau,3.TCP_fliares,15.168,107.10600000000001,42.068999999999996,1.1179999999999999
GNB,Guinea-Bissau,9.SD,0.251,0.646,0.313,283.292
GRC,Greece,1.Asalariado_patr,238.7927777777778,1433.0095555555556,901.501,60.062444444444445
GRC,Greece,3.TCP_fliares,15.378,768.0744444444445,205.54477777777777,0
GRD,Grenada,1.Asalariado_patr,17.808500000000002,52.3455,21.976,0
GRD,Grenada,3.TCP_fliares,2.5965000000000003,15.322,2.067,0
GRD,Grenada,9.SD,0.6475,0,0,8.395499999999998
GTM,Guatemala,1.Asalariado_patr,1231.2669,2019.3552,541.9231,4.8167
GTM,Guatemala,3.TCP_fliares,427.3372,1848.643,109.0375,12.346499999999999
GTM,Guatemala,9.SD,0,0,0,0
GUY,Guyana,1.Asalariado_patr,37.6565,93.60300000000001,42.305,2.4204999999999997
GUY,Guyana,3.TCP_fliares,10.1955,55.278000000000006,4.6655,0.16649999999999998
GUY,Guyana,9.SD,0,0,0,5.0504999999999995
HKG,"Hong Kong, China",1.Asalariado_patr,688.8641,1355.6225000000002,1310.3818,143.13760000000002
HKG,"Hong Kong, China",3.TCP_fliares,9.9335,120.444,96.9436,7.2089
HND,Honduras,1.Asalariado_patr,551.1253636363637,1020.6024545454545,417.664,4.291727272727273
HND,Honduras,3.TCP_fliares,305.29236363636363,920.3643636363637,166.63363636363636,1.6195555555555554
HND,Honduras,9.SD,2.9685,5.882333333333333,5.227666666666667,0
HRV,Croatia,1.Asalariado_patr,108.46136363636364,730.9855454545454,468.84827272727273,14.129272727272728
HRV,Croatia,3.TCP_fliares,8.832,180.96636363636364,77.63954545454546,0
HUN,Hungary,1.Asalariado_patr,387.77727272727276,1965.7654545454545,1255.6979090909092,19.15909090909091
HUN,Hungary,3.TCP_fliares,6.454454545454546,272.73336363636366,180.76645454545454,0
HUN,Hungary,9.SD,0,0,0,8.616
IDN,Indonesia,1.Asalariado_patr,15642.893777777777,31152.16811111111,9962.099222222223,687.7435555555555
IDN,Indonesia,3.TCP_fliares,3943.061777777778,53719.15655555556,1425.421,3.0926666666666667
IND,India,1.Asalariado_patr,13526.067333333332,46895.517,27639.612666666664,577.599
IND,India,3.TCP_fliares,80055.88633333333,159533.05333333334,28507.628,6802.896666666667
IND,India,9.SD,547.3793333333333,2543.5253333333335,893.457,33.32733333333333
