iso3c,calificacion,ocupacion,rama,freq
BLR,1.Baja,1.Asalariado_patr,1.Agro,1.13412968236535
BLR,2.Media,1.Asalariado_patr,1.Agro,6.858750959233901
BLR,3.Alta,1.Asalariado_patr,1.Agro,2.3777799711823637
BLR,1.Baja,3.TCP_fliares,1.Agro,0.09081676753602881
BLR,2.Media,3.TCP_fliares,1.Agro,0.3449577494270644
BLR,3.Alta,3.TCP_fliares,1.Agro,0.11930272755182944
BLR,1.Baja,1.Asalariado_patr,2.No_agro,6.388556002293521
BLR,2.Media,1.Asalariado_patr,2.No_agro,43.3794324781596
BLR,3.Alta,1.Asalariado_patr,2.No_agro,36.257561184488914
BLR,1.Baja,3.TCP_fliares,2.No_agro,0.3456245937580265
BLR,2.Media,3.TCP_fliares,2.No_agro,1.4740199001431007
BLR,3.Alta,3.TCP_fliares,2.No_agro,1.229067983860295
BLZ,1.Baja,1.Asalariado_patr,1.Agro,5.2718525232038465
BLZ,2.Media,1.Asalariado_patr,1.Agro,4.452446096606434
BLZ,3.Alta,1.Asalariado_patr,1.Agro,0.275712590143354
BLZ,1.Baja,3.TCP_fliares,1.Agro,2.409579334067248
BLZ,2.Media,3.TCP_fliares,1.Agro,5.28250681665026
BLZ,3.Alta,3.TCP_fliares,1.Agro,0.06884405442082812
BLZ,1.Baja,1.Asalariado_patr,2.No_agro,12.32543245075095
BLZ,2.Media,1.Asalariado_patr,2.No_agro,35.69511198020899
BLZ,3.Alta,1.Asalariado_patr,2.No_agro,14.514964847896154
BLZ,1.Baja,3.TCP_fliares,2.No_agro,2.1508574382188934
BLZ,2.Media,3.TCP_fliares,2.No_agro,16.168942893034828
BLZ,3.Alta,3.TCP_fliares,2.No_agro,1.3837489747982215
BOL,1.Baja,1.Asalariado_patr,1.Agro,0.4600966025096718
BOL,2.Media,1.Asalariado_patr,1.Agro,3.4448792083959208
BOL,3.Alta,1.Asalariado_patr,1.Agro,0.12825558298855066
BOL,1.Baja,3.TCP_fliares,1.Agro,0.727755322475421
BOL,2.Media,3.TCP_fliares,1.Agro,26.110103262750872
BOL,3.Alta,3.TCP_fliares,1.Agro,0.1319124054721923
BOL,1.Baja,1.Asalariado_patr,2.No_agro,5.018758725172755
BOL,2.Media,1.Asalariado_patr,2.No_agro,19.13648531004784
BOL,3.Alta,1.Asalariado_patr,2.No_agro,13.067004518559326
BOL,1.Baja,3.TCP_fliares,2.No_agro,1.5156774163228657
BOL,2.Media,3.TCP_fliares,2.No_agro,27.693054817909903
BOL,3.Alta,3.TCP_fliares,2.No_agro,2.5660168273946846
BRA,1.Baja,1.Asalariado_patr,1.Agro,1.4709215902242385
BRA,2.Media,1.Asalariado_patr,1.Agro,2.520326390665288
BRA,3.Alta,1.Asalariado_patr,1.Agro,0.10210392324673198
BRA,1.Baja,3.TCP_fliares,1.Agro,1.2766071319531824
BRA,2.Media,3.TCP_fliares,1.Agro,5.094614748072943
BRA,3.Alta,3.TCP_fliares,1.Agro,0.08407659786855697
BRA,1.Baja,1.Asalariado_patr,2.No_agro,13.734778815982619
BRA,2.Media,1.Asalariado_patr,2.No_agro,36.16942440943504
