ref_area,ref_area.label,calif,1.Agro,2.No_agro,9.SD
IND,India,9.SD,4636.812666666667,2752.628,73.082
IRL,Ireland,1.Baja,14.678636363636365,160.34463636363637,0.4552727272727273
IRL,Ireland,2.Media,85.03827272727273,899.7806363636364,1.238909090909091
IRL,Ireland,3.Alta,8.141636363636364,865.979909090909,1.113909090909091
IRL,Ireland,9.SD,1.2415454545454545,13.447272727272727,2.860181818181818
IRN,"Iran, Islamic Republic of",1.Baja,653.8778181818182,2700.762909090909,10.1773
IRN,"Iran, Islamic Republic of",2.Media,3044.802090909091,10782.488636363636,72.21518181818182
IRN,"Iran, Islamic Republic of",3.Alta,26.214636363636366,3784.336090909091,31.563363636363636
IRN,"Iran, Islamic Republic of",9.SD,0.33955555555555555,479.3954545454545,1.2848
ISL,Iceland,1.Baja,0.5866363636363636,10.34690909090909,0
ISL,Iceland,2.Media,6.206727272727273,73.7639090909091,0.08245454545454546
ISL,Iceland,3.Alta,1.338090909090909,86.74818181818182,0.15336363636363637
ISL,Iceland,9.SD,0.1795,0.7499090909090909,0.17472727272727273
ISR,Israel,1.Baja,5.794727272727273,205.5998181818182,4.768818181818181
ISR,Israel,2.Media,24.67175,1416.809125,15.919375
ISR,Israel,3.Alta,6.352625,1594.1774545454546,17.778333333333332
ISR,Israel,9.SD,0.298,180.13162499999999,46.78225
ITA,Italy,1.Baja,292.17109090909094,2143.4378181818183,0
ITA,Italy,2.Media,517.7564545454545,11248.802090909092,0
ITA,Italy,3.Alta,36.98709090909091,8172.548636363636,0
ITA,Italy,9.SD,0,244.5578181818182,0
JAM,Jamaica,1.Baja,12.972142857142858,130.9242857142857,0.22728571428571429
JAM,Jamaica,2.Media,192.93785714285715,542.9462857142858,0.7996666666666666
JAM,Jamaica,3.Alta,0.8577142857142857,233.32714285714286,0.7957142857142857
JAM,Jamaica,9.SD,0.105,2.6875,0.5023333333333333
JOR,Jordan,1.Baja,6.283666666666667,217.11499999999998,0
JOR,Jordan,2.Media,68.96433333333333,1386.4883333333335,0
JOR,Jordan,3.Alta,1.092,508.194,0
JOR,Jordan,9.SD,0,0,0
JPN,Japan,1.Baja,55.412636363636366,8797.546181818181,18.281
JPN,Japan,2.Media,2197.1287272727272,38414.68618181818,570.0725
JPN,Japan,3.Alta,16.912,12380.846272727273,104.626
JPN,Japan,9.SD,1.6453333333333333,1410.4558181818181,0
KEN,Kenya,1.Baja,3175.526,3419.357,0
KEN,Kenya,2.Media,3029.615,6438.835,0
KEN,Kenya,3.Alta,77.689,2506.177,0
KEN,Kenya,9.SD,5.538,68.749,0
KGZ,Kyrgyzstan,1.Baja,47.7584,267.7557,0
KGZ,Kyrgyzstan,2.Media,539.1374,1007.5732,0
KGZ,Kyrgyzstan,3.Alta,2.3057,416.8068,0
KGZ,Kyrgyzstan,9.SD,0.5065,4.8224,0
KHM,Cambodia,1.Baja,658.4229,485.9776,0
KHM,Cambodia,2.Media,3125.9446,3527.013,0
KHM,Cambodia,3.Alta,1.440125,461.0817,0
KHM,Cambodia,9.SD,0,65.6434,0
KIR,Kiribati,1.Baja,3.2554999999999996,2.1105,0
KIR,Kiribati,2.Media,2.1975000000000002,12.274999999999999,0
KIR,Kiribati,3.Alta,0.1175,6.554,0
KIR,Kiribati,9.SD,0,0.127,0
KOR,Republic of Korea,1.Baja,102.59563636363636,3260.58,0
KOR,Republic of Korea,2.Media,1323.4811818181818,11164.213,0
KOR,Republic of Korea,3.Alta,15.197818181818182,9792.487181818182,0
KOR,Republic of Korea,9.SD,0,75.83583333333333,74.99711111111111
